City,State,Land area (sq mi),Land area (km²),Water area (sq mi),Water area (km²),Total area (sq mi),Total area (km²),Population (2010)
Omaha,Nebraska,115.7,299.7,3.2,8.2,118.9,307.9,"408,958"
Lubbock,Texas,114.8,297.4,0.1,0.3,114.9,297.6,"229,573"
Tampa,Florida,112.1,290.2,58.5,151.6,170.6,441.9,"335,709"
Eloy,Arizona,111.5,288.8,0.1,0.2,111.6,289,"10,375"
Unalaska,Alaska,111,287.5,101.3,262.4,212.3,549.9,"4,283"
Orlando,Florida,102.4,265,8.3,21,110.7,287,"238,300"
Salt Lake City,Utah,109.1,282.5,1.3,3.3,110.4,285.9,"186,440"
Henderson,Nevada,107.53,,,,,,
Surprise,Arizona,105.75,,,,,,[1]
Babbitt,Minnesota,105.7,273.6,1.1,2.8,106.7,276.4,"1,670"
Cape Coral,Florida,105.2,272.4,9.9,25.7,115.1,298.1,"154,305"
Abilene,Texas,105.1,272.3,5.5,14.2,110.6,286.5,"117,063"
Palmdale,California,105,271.8,0.1,0.4,105.1,272.2,"152,750"
Jackson,Mississippi,104.9,271.7,1.9,5,106.8,276.7,"173,514"
Greensboro,North Carolina,104.7,271.2,4.5,11.8,109.3,283,"269,666"
Fresno,California,104.4,270.3,0.4,1.1,104.8,271.4,"494,665"
Shreveport,Louisiana,103.1,267.1,14.6,37.9,117.8,305.1,"199,311"
North Las Vegas,Nevada,101.35,,,,,,"216,961"
St. Marys,Pennsylvania,99.3,257.2,0.2,0.4,99.5,257.7,"14,502"
Sacramento,California,97.2,251.6,2.1,5.4,99.2,257,"466,488"
Charleston,South Carolina,97,251.2,17.1,44.3,114.1,295.5,"120,083"
Nightmute,Alaska,97,251.2,4.6,11.8,101.5,263,208
Plymouth,Massachusetts,96.5,250,37.5,97,134,347,"51,701"
Milwaukee,Wisconsin,96.1,248.8,0.9,2.2,96.9,251,"594,833"
Arlington,Texas,95.8,248.2,3.2,8.3,99,256.5,"365,438"
Tallahassee,Florida,95.7,247.9,2.5,6.6,98.3,254.5,"181,376"
Clarksville,Tennessee,94.9,245.7,0.7,1.8,95.5,247.5,"132,929"
Durham,North Carolina,94.6,245.1,0.3,0.7,94.9,245.8,"228,330"
Palm Springs,California,94.2,244.1,0.8,2.2,95.1,246.3,"42,807"
Lancaster,California,94,243.5,0.2,0.5,94.2,243.9,"156,633"
Knoxville,Tennessee,92.7,240,5.4,14.1,98.1,254,"178,874"
Laredo,Texas,90.01,,1.1,2.8,79.6,206,"236,091"
Amarillo,Texas,89.9,232.7,0.4,1.2,90.3,233.9,"190,695"
Dothan,Alabama,86.6,224.3,0.2,0.5,86.8,224.9,"57,737"
Oak Ridge,Tennessee,85.5,221.6,4.4,11.3,89.9,232.9,"27,387"
Edmond,Oklahoma,85.1,220.5,2.8,7.3,87.9,227.8,"68,315"
Beaumont,Texas,85,220.2,0.9,2.4,85.9,222.6,"118,296"
Waco,Texas,84.2,218.1,11.3,29.3,95.5,247.4,"124,805"
Seattle,Washington,83.9,217.2,58.7,152,142.5,369.2,"608,660"
Port Arthur,Texas,82.9,214.8,60.8,157.6,143.8,372.3,"57,755"
Baltimore **,Maryland,80.8,209.3,11.3,29.2,92.1,238.5,"620,961"
Toledo,Ohio,80.6,208.8,3.5,8.9,84.1,217.8,"287,208"
Kansas City,Kansas,124.3,321.8,3.6,9.2,127.8,331,"145,786"
El Reno,Oklahoma,80,207.1,0.4,1.2,80.4,208.3,"16,212"
Jonesboro,Arkansas,79.6,206.3,0.4,0.9,80,207.2,"55,515"
Ellsworth,Maine,79.3,205.3,14.6,37.7,93.8,243,"7,741"
Caribou,Maine,79.3,205.4,0.9,2.3,80.2,207.7,"8,312"
Fort Wayne,Indiana,79,204.5,0.2,0.4,79.1,204.9,"253,691"
Independence,Missouri,78.3,202.9,0.1,0.3,78.5,203.2,"116,830"
Riverside,California,78.1,202.3,0.3,0.7,78.4,203,"303,871"
Cincinnati,Ohio,78,201.9,1.6,4.1,79.6,206.1,"296,943"
Las Cruces,New Mexico,77.9,201.4,1.2,4.7,81.6,200.9,"99,788"
Cleveland,Ohio,77.6,200.9,4.8,12.5,82.4,213.5,"396,815"
Baton Rouge,Louisiana,76.8,199,2.2,5.7,79.1,204.8,"229,493"
Fremont,California,76.7,198.6,10.4,27,87.1,225.6,"214,089"
Presque Isle,Maine,75.7,196.2,1.8,4.7,77.5,200.4,"9,511"
Des Moines,Iowa,75.8,196.3,1.5,3.8,77.2,200.1,"203,433"
Port St. Lucie,Florida,75.5,195.7,1.1,3,76.7,198.6,"164,603"
Lawton,Oklahoma,75.1,194.6,0,0,75.1,194.6,"92,757"
Rome,New York,74.9,194.1,0.7,1.9,75.7,196,"34,950"
North Port,Florida,74.8,193.7,0.8,2,75.5,195.6,"57,357"
Savannah,Georgia,74.7,193.6,3.4,8.7,78.1,202.3,"136,286"
Lincoln,Nebraska,74.6,193.3,0.7,1.9,75.4,195.2,"258,379"
Enid,Oklahoma,74,191.6,0.1,0.2,74.1,191.8,"47,045"
Rio Rancho,New Mexico,73.4,190.2,0.1,0.2,73.5,190.4,"51,765"
Apple Valley,California,73.3,189.9,0.3,0.8,73.6,190.7,"54,239"
Springfield,Missouri,73.2,189.5,0.6,1.7,73.8,191.1,"159,498"
Victorville,California,72.8,188.5,0.5,1.4,73.3,189.9,"64,029"
Plano,Texas,71.6,185.4,0.1,0.2,71.6,185.5,"259,841"
Grand Prairie,Texas,71.4,184.9,10.1,26.3,81.5,211.2,"175,396"
Wichita Falls,Texas,70.7,183.1,0,0.1,70.7,183.1,"104,553"
